epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.888,1.38531,1.65692,1.25535,0.91446,0.88506,0.92554,0.70407,1.1528,0.75187,1.10664,0.00329932,0.00329932,0.00329932
2,69.2088,1.24706,1.01582,1.18556,0.8845,0.92427,0.93706,0.71902,1.00823,0.84035,1.07626,0.006632,0.006632,0.006632
3,100.326,1.27543,1.05042,1.20785,0.91703,0.86782,0.9462,0.7213,1.03156,0.79412,1.12827,0.00996401,0.00996401,0.00996401
4,132.106,1.39392,1.16436,1.26953,0.93725,0.86782,0.92304,0.66576,1.34035,1.20695,1.38225,0.00999703,0.00999703,0.00999703
5,164.137,1.39436,1.1369,1.27371,0.82434,0.77011,0.85806,0.64001,1.27991,1.44815,1.33006,0.00999604,0.00999604,0.00999604
6,195.937,1.37419,1.10123,1.27187,0.9205,0.86511,0.93625,0.7092,1.25622,1.14888,1.24425,0.00999505,0.00999505,0.00999505
7,227.94,1.36175,1.08757,1.27165,0.90094,0.94253,0.96892,0.72441,1.06037,0.65652,1.1703,0.00999406,0.00999406,0.00999406
8,260.113,1.34185,1.04561,1.2497,0.95856,0.93062,0.96499,0.72919,1.15256,0.8761,1.18899,0.00999307,0.00999307,0.00999307
9,292.154,1.33772,1.02598,1.25453,0.90973,0.92675,0.96761,0.7355,1.0294,0.62852,1.10206,0.00999208,0.00999208,0.00999208
10,324.323,1.27743,1.18828,1.20733,0.92438,0.93678,0.96922,0.7802,0.99118,0.65483,1.10424,0.00999109,0.00999109,0.00999109
11,356.331,1.31992,1.00154,1.23857,0.90487,0.87466,0.93298,0.70072,1.42509,0.9397,1.46199,0.0099901,0.0099901,0.0099901
12,388.29,1.28608,0.95144,1.20685,0.92216,0.93678,0.97708,0.74966,1.00677,0.59967,1.11952,0.00998911,0.00998911,0.00998911
13,420.239,1.25957,0.95159,1.21115,0.91741,0.95758,0.96593,0.75181,1.12578,0.623,1.16318,0.00998812,0.00998812,0.00998812
14,452.392,1.25547,0.93141,1.19723,0.93342,0.93678,0.97178,0.76377,1.0691,0.60262,1.12316,0.00998713,0.00998713,0.00998713
15,484.251,1.25975,0.95052,1.20969,0.94857,0.95397,0.97482,0.76804,1.00618,0.69276,1.12435,0.00998614,0.00998614,0.00998614
16,516.278,1.22357,0.90513,1.1848,0.89947,0.97697,0.96072,0.7528,1.05477,0.58633,1.17198,0.00998515,0.00998515,0.00998515
17,548.258,1.22789,0.89682,1.18456,0.94188,0.95977,0.98407,0.77734,1.04627,0.63444,1.13272,0.00998416,0.00998416,0.00998416
18,580.367,1.23501,0.91375,1.19195,0.93789,0.95463,0.98583,0.78225,0.97054,0.53757,1.10384,0.00998317,0.00998317,0.00998317
19,612.634,1.22161,0.87227,1.17861,0.94756,0.9347,0.98015,0.77793,0.9746,0.53466,1.07195,0.00998218,0.00998218,0.00998218
20,644.44,1.20247,0.86804,1.17403,0.92719,0.95137,0.97757,0.76738,1.03029,0.59361,1.17569,0.00998119,0.00998119,0.00998119
21,676.488,1.20727,0.84996,1.17498,0.94064,0.95977,0.98001,0.76885,1.10991,0.53113,1.17489,0.0099802,0.0099802,0.0099802
22,708.43,1.19926,0.84939,1.16728,0.97266,0.93103,0.97866,0.76526,0.95405,0.53445,1.05642,0.00997921,0.00997921,0.00997921
23,740.26,1.19644,0.84497,1.16839,0.93046,0.94828,0.969,0.7656,1.04087,0.51632,1.10644,0.00997822,0.00997822,0.00997822
24,772.177,1.17285,0.83192,1.15304,0.95064,0.95402,0.97985,0.79227,0.89488,0.51768,1.03793,0.00997723,0.00997723,0.00997723
25,804.246,1.16737,0.81525,1.15153,0.96479,0.9449,0.98409,0.79509,0.95117,0.53554,1.07989,0.00997624,0.00997624,0.00997624
26,836.39,1.17256,0.81707,1.14423,0.98072,0.97126,0.98911,0.80625,0.92746,0.47007,1.07596,0.00997525,0.00997525,0.00997525
27,868.296,1.14942,0.80172,1.14457,0.92324,0.9678,0.97899,0.77952,0.92247,0.49549,1.06374,0.00997426,0.00997426,0.00997426
28,900.232,1.14423,0.80363,1.14846,0.97265,0.95402,0.97724,0.7829,0.97744,0.51292,1.09906,0.00997327,0.00997327,0.00997327
29,932.215,1.15585,0.80073,1.14177,0.93323,0.96392,0.98071,0.7866,0.97869,0.55608,1.12383,0.00997228,0.00997228,0.00997228
30,964.287,1.16452,0.79567,1.14722,0.93344,0.96711,0.97573,0.7733,0.94054,0.50633,1.08403,0.00997129,0.00997129,0.00997129
31,996.191,1.15595,0.79764,1.14198,0.91946,0.97126,0.98276,0.78933,0.93225,0.47595,1.06249,0.0099703,0.0099703,0.0099703
32,1028.04,1.13313,0.77382,1.13703,0.9545,0.9645,0.98566,0.78645,0.89125,0.47279,1.04043,0.00996931,0.00996931,0.00996931
33,1060.04,1.13747,0.77292,1.13437,0.94299,0.97701,0.97979,0.78524,0.95761,0.50814,1.07211,0.00996832,0.00996832,0.00996832
34,1092.15,1.129,0.76765,1.13105,0.94932,0.96884,0.98364,0.78985,0.98074,0.45322,1.07282,0.00996733,0.00996733,0.00996733
